order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time
1479740,187645,Del Posto $0 Delivery Fee,Italian,23.25,Weekday,Not given,21,27
1488980,219606,Mercadito,Mexican,12.04,Weekend,Not given,30,21
1492170,295577,Le Pain Quotidien,Vegetarian,22.3,Weekend,5,31,26
1481067,494000,Jacob's Pickles,American,11.92,Weekend,5,24,21
1479545,346640,Oren's Daily Roast - CLOSED,Coffee,7.62,Weekend,5,20,18
1482048,100327,The Dead Rabbit,American,28.56,Weekend,Not given,26,15
1495705,285623,Lavagna - $5 off first order,Italian,9.0,Weekend,5,23,26
1477737,104548,Tarallucci e Vino Restaurant,Italian,11.59,Weekend,Not given,21,15
1482698,317928,Roots Cafe,Coffee,23.0,Weekend,4,31,25
1490732,448183,Blackbarn,American,13.87,Weekend,4,25,25
1486390,341280,Lan Sheng,Chinese,4.5,Weekday,Not given,20,24
1496749,321275,BOSIE TEA PARLOR,Dessert,6.3,Weekday,4,20,15
1492017,175239,Jing Fong,Chinese,20.7,Weekday,5,27,33
1486022,36277,Bouley $1.99 Delivery,French,25.93,Weekday,3,28,17
1480869,50684,Eleven Madison Parrk,American,16.08,Weekend,5,35,28
1497301,71674,Porter House,Steakhouse,13.4,Weekday,Not given,20,21
1482035,241489,Blackbarn,American,13.35,Weekday,4,26,16
1488861,307216,Atomix,Korean,24.33,Weekend,3,32,27
1496946,490041,Union Square Cafe,American,19.56,Weekend,4,30,23
1493552,427480,Tavern on the Green,American,4.5,Weekday,5,35,20
1482889,9029,Rao's,Italian,23.45,Weekday,Not given,28,26
1493459,125420,François Payard,Dessert,24.61,Weekday,Not given,31,30
1487178,240410,Zibetto,Coffee,22.71,Weekend,4,29,22
1477468,109221,Tortaria,Mexican,13.0,Weekday,5,21,24
1482384,53111,Quality Italian,Italian,12.44,Weekday,Not given,24,25
1476980,117810,Momoya,Japanese,6.02,Weekend,5,28,20
1485789,240906,Katana Kitten,Japanese Food,18.36,Weekday,3,24,23
1495709,363846,Eleven Madison Park,American,4.5,Weekday,5,24,24
1485476,206272,Kajitsu,Vegetarian,27.14,Weekday,3,30,33
1482218,43142,Delice & Sarrasin,Vegetarian,25.68,Weekend,4,27,24
1480220,49618,Prince Tea House,Dessert,23.5,Weekday,5,22,33
1480411,19657,McNulty's,Coffee,20.55,Weekday,4,35,19
1487904,275901,Pete's Tavern,American,22.32,Weekday,4,31,18
1495569,385027,Jin Ramen,Japanese,13.53,Weekend,Not given,25,23
1486985,479103,Nix,Vegetarian,19.98,Weekday,5,28,18
1496781,405142,Smith & Wollensky,Steakhouse,31.01,Weekday,Not given,24,18
1496932,214253,Hundred Acres,American,15.56,Weekday,5,29,33
1493854,299584,Benjamin Steakhouse,Steakhouse,11.89,Weekday,5,20,26
1481235,174196,Delice & Sarrasin,Vegetarian,18.26,Weekend,3,27,31
1495862,63267,Rosemary's,American,17.3,Weekend,Not given,28,22
1489518,262630,Pastrami Queen - Midtown,Deli,12.68,Weekend,Not given,23,24
1483549,269706,Le Pain Quotidien (archived),Vegetarian,22.56,Weekday,4,29,24
1492254,436990,Empellon,Mexican,4.5,Weekend,3,24,24
1477985,325272,Cho Dang Gol,Korean,12.13,Weekend,4,29,16
1480864,96693,Harbs,Dessert,21.24,Weekday,5,28,28
1478194,67937,Shake Shack,American,15.52,Weekend,5,22,17
1493933,349807,Daniel,French,24.88,Weekday,Not given,25,21
1481119,294332,Pasquale Jones,Italian,32.18,Weekday,5,28,24
1480672,415895,Raoul's,French,21.32,Weekend,5,31,15
1479201,287917,Miss Ada,Middle Eastern,25.1,Weekday,Not given,30,25
1486629,278309,Breads Bakery,Bakery,6.34,Weekend,3,22,23
1479058,335370,Il Mulino,Italian,13.91,Weekend,5,29,28
1495123,380412,Veniero's Pasticceria,Coffee,19.24,Weekend,Not given,30,27
1489081,220863,Oren's Daily Roast,Coffee,20.51,Weekday,Not given,23,26
1491446,203528,The Dead Rabbit,American,20.98,Weekday,4,30,26
1491222,20821,Le Pain Quotidien (archived),Vegetarian,27.99,Weekday,5,20,32
1481314,217572,Bonchon,Korean,4.5,Weekday,Not given,25,30
1478845,395453,Primehouse,Steakhouse,18.14,Weekend,Not given,25,30
1478648,360249,Westlight Chelsea,American ,8.87,Weekday,Not given,25,22
1477400,68775,Sushi of Gari Tribeca,Sushi,29.15,Weekend,4,22,17
1492315,476679,Hungry Ghost,Coffee,8.48,Weekday,5,29,29
1493758,484979,Amy's Bread [LIMITED TIME],Bakery,19.29,Weekend,4,29,19
1493216,245146,ChikaLicious,Dessert,12.54,Weekend,5,20,20
1481313,232778,Employees Only,American,12.94,Weekday,5,23,25
1486388,351347,Cherche Midi $0 Delivery Fee,French,23.37,Weekday,Not given,29,25
1492923,273760,The Spotted Pig,American,14.01,Weekday,3,35,17
1490886,108174,Frankies 457 Spuntino,Italian,20.76,Weekday,Not given,29,23
1486930,490419,Smith & Wollensky,Steakhouse,22.06,Weekday,Not given,25,17
1494368,187872,Totto Ramen,Japanese,12.82,Weekday,Not given,25,29
1482697,361942,Manhatta,American,9.71,Weekend,3,29,21
1493893,466880,Oren's Daily Roast,Coffee,9.92,Weekday,3,32,18
1490183,120613,Gramercy Tavern,American,23.5,Weekend,5,28,19
1487345,89237,Bourke Street Bakery,Coffee,19.17,Weekday,5,23,30
1477179,52832,L'Express ®,French,24.2,Weekday,Not given,28,24
1493514,276885,Miss Ada.,Middle Eastern,9.42,Weekend,4,20,33
1493793,431517,King Cole Bar,American,22.33,Weekday,Not given,25,15
1482541,334672,Morandi,Italian,9.78,Weekday,5,29,20
1496598,61195,Wild Ginger - CLOSED,Vegetarian,18.61,Weekday,Not given,29,30
1477128,354016,Waverly Diner,American,14.94,Weekend,Not given,28,28
1483691,453270,BBQ Chicken,Korean,18.79,Weekday,5,20,15
1489382,189707,Levain Bakery (20% off),Bakery,30.79,Weekday,Not given,33,15
1490632,385242,Dough,Bakery,15.01,Weekend,5,26,20
1483246,231720,KATANA KITTEN,Japanese,7.54,Weekday,3,27,22
1479817,181966,The Dead Rabbit,American,10.21,Weekend,5,25,23
1495045,3578,Planta,Vegetarian,30.03,Weekend,5,32,29
1483545,34306,Piccola Cucina (closed),Italian,15.85,Weekday,Not given,20,19
1488161,32839,Philippe,Chinese,12.66,Weekend,4,25,26
1491887,461830,Harry's,Steakhouse,4.5,Weekday,5,25,18
1476658,127149,P.J. Clarke's,American,31.43,Weekend,4,31,23
1476948,86421,Vanessa's Dumpling House,Chinese,9.65,Weekend,5,20,22
1482060,75100,Mu Ramen,Japanese,20.4,Weekend,5,35,32
1488995,6389,Irving Farm,Coffee,10.55,Weekday,4,24,25
1484714,430386,Old Town Bar,American,21.22,Weekend,5,35,33
1477732,399729,Shake Shack,American,24.25,Weekend,4,20,29
1490770,344066,Harbs,Dessert,7.71,Weekday,3,24,29
1488849,351859,Zabar's,Deli,11.67,Weekend,Not given,27,28
1487206,477331,Oiji Mi,Korean,18.27,Weekend,4,31,22
1477801,268365,Zero Otto Nove,Italian,12.18,Weekday,4,29,25
1490771,366121,Roberta's,Italian,5.91,Weekday,3,26,22
1488364,374418,The Butcher's Daughter,American Cuisine,13.83,Weekday,5,25,20
1482245,389393,Shuka,Middle Eastern,4.5,Weekend,Not given,29,21
1485941,143441,Max,Italian,27.8,Weekday,Not given,35,20
